Id,Name,Occupancy,Effective Rent,Effective RPSF,Annual Rent Change,Asking Rent,Concessions,Units,Avg Sq Ft,Class,Age,Stories,City,Address,State,Zip
108484,Hunters Run,0.918,787,0.703,0.002,787,0.0%,170,1127,C,2000,2,Louisville,5629 Fox Horn Cir,KY,40216
108494,Huntington Lane,1,645,0.806,0,645,0.0%,58,800,C,1980,2,Louisville,1409 Huntington Ln,KY,40219
108406,Huntley Ridge Clarksville,0.984,700,0.779,0.014,700,0.0%,125,909,C,1981,2,Clarksville,813 Eastern Blvd,IN,47129
121324,Hurstbourne Estates,0.93,1168,1.139,-0.061,1168,0.0%,270,1046,A,2014,3,Louisville,10405 Watermark Pl,KY,40223
13613,"Hurstbourne Grand I, II",0.951,1211,0.91,0.07,1211,0.0%,410,1335,B,1972,2,Louisville,8916 Marksfield Rd,KY,40222
107364,ICON,0.973,878,1.11,-0.064,949,7.5%,184,796,A,1968,10,Louisville,3201 Leith Ln,KY,40218
108191,Iroquois Gardens,0.955,767,0.869,0.061,767,0.0%,157,884,B,1972,3,Louisville,518 Iroquois Garden Dr,KY,40214
107412,Iroquois Green,0.972,574,0.918,-0.029,574,0.0%,72,625,C,1972,3,Louisville,136 Lawson Ln,KY,40214
108852,Iroquois Terrace,1,850,0.773,0.069,850,0.0%,32,1100,C,1987,2,Louisville,4930 Manslick Rd,KY,40216
189103,Jefferson Post,0.99,844,0.791,0.015,844,0.0%,104,1071,C,2016,2,Louisville,7111 Jefferson Run Dr,KY,40219
107458,Jefferson Square,0.95,752,1.035,0.071,752,0.0%,60,728,B,1963,2,Louisville,5315 Outer Loop,KY,40219
150317,Kendal on Taylorsville,0.997,1262,1.08,0.045,1262,0.0%,309,1181,A,2016,3,Louisville,4004 Keighley Park Ln,KY,40299
107549,King David,0.952,768,0.824,0.057,768,0.0%,188,960,C,1972,2,New Albany,142 University Woods Dr,IN,47150
14317,King George,0.957,777,0.644,-0.064,827,6.4%,208,1203,C,1979,2,Louisville,3309 River Chase Ct,KY,40218
107559,King Solomon,0.877,713,1.073,0.094,713,0.0%,162,667,B,1973,2,Jeffersonville,1512 E 10th St,IN,47130
107566,Kingsfield,0.978,837,0.782,0.013,837,0.0%,184,1078,C,1995,2,New Albany,100 Mills Ln,IN,47150
107611,Knobs Pointe,0.951,716,0.642,0.041,716,0.0%,384,1132,C,1974,3,New Albany,2702 Paoli Pike,IN,47150
125415,LC Middletown I,0.879,1104,1.073,-0.039,1104,0.0%,346,1061,A,2015,3,Louisville,700 Landis Ridge Dr,KY,40245
176395,LC Middletown II,0.878,1057,1.119,0.005,1057,0.0%,263,968,A,2017,3,Louisville,600 English Station Way,KY,40245
38211,Ledgewood,0.934,754,0.914,0.034,754,0.0%,136,825,B,1974,2,Louisville,6100 Ledgewood Pkwy,KY,40214
163924,Legacy Apartments,0.83,660,0.716,-0.081,660,0.0%,106,933,C,1968,2,Louisville,5515 Hunt Club Ln,KY,40214
40358,Legends at Indian Springs,0.948,1007,0.959,-0.047,1007,0.0%,212,1063,A,2001,3,Louisville,11000 Indian Legends Dr,KY,40241
205419,"Lighthouse I,II,III",0.987,816,0.844,0.032,816,0.0%,232,978,B,2003,2,Jeffersonville,900 Lighthouse Dr,IN,47130
191145,"Liverpool I, II",0.983,653,1.325,0.147,653,0.0%,60,496,B,1969,2,Louisville,3600 Fountain Dr,KY,40218
107575,Lochwood,1,820,0.653,0.119,820,0.0%,200,1280,C,1993,2,New Albany,121 Lochwood Ct,IN,47150
200453,Lyndon Crossings,0.883,927,1,0.087,927,0.0%,60,929,B,1999,2,Louisville,8301 Doncaster Way,KY,40222
107472,Maple Brook,0.99,922,0.94,0.086,922,0.0%,200,1004,B,2005,3,Louisville,11507 Maple Brook Dr,KY,40241
108412,Markwell,1,814,1.024,0.019,814,0.0%,88,823,B,1979,2,Louisville,350 Markwell Ct,KY,40219
188112,Mayfair Apartment Homes,0.971,808,0.816,0.107,808,0.0%,244,1054,C,1970,2,Jeffersonville,1201 Harmony Ln,IN,47130
108195,Mayflower,0.895,1022,1.094,0.306,1022,0.0%,95,960,A,1936,8,Louisville,425 W Ormsby Ave,KY,40203
195986,Meadow Creek,0.958,546,0.707,0.009,546,0.0%,71,779,C,1965,2,Louisville,2007 Goldsmith Ln,KY,40218
13580,Meadows,0.973,878,1.189,0.104,878,0.0%,400,745,B,1989,2,Louisville,2204 Deercross Dr,KY,40220
128461,Meridian on Shelbyville,0.98,1215,1.099,0.024,1215,0.0%,304,1114,A,2015,3,Louisville,12900 Observation Cr,KY,40243
107589,Monteray Place,0.959,685,0.858,0,685,0.0%,246,800,C,2000,2,Louisville,10500 Monteray Pl Cir,KY,40272
107285,Norbrook Arms Apartments,0.967,639,1.105,-0.036,639,0.0%,92,578,C,1975,2,Louisville,4300 Norbrook Dr,KY,40218
32787,Oaks at St Andrews,0.952,713,0.804,-0.06,760,6.4%,209,890,B,1974,2,Louisville,6817 Brooklawn Dr,KY,40214
107670,Olde Town Village,0.981,747,0.704,0.012,747,0.0%,156,1098,C,1972,2,Clarksville,790 Irving Dr,IN,47129
127379,Oldham Oaks,0.949,1141,1.002,0.044,1141,0.0%,216,1139,A,2014,3,La Grange,1000 Cassandra Ln,KY,40031
107474,Orchard Hills,0.938,745,0.817,-0.094,745,0.0%,373,912,B,2009,3,Jeffersonville,201 Orchard Hills Dr,IN,47130
121319,Overbrook,0.961,933,0.878,-0.034,974,4.2%,152,1067,B,2014,2,Louisville,8901 Fairground Rd,KY,40291
107580,Paddock at Eastpoint,0.97,1210,1.123,0.045,1210,0.0%,499,1112,A,2007,2,Louisville,13516 Skywatch Ln,KY,40245
108194,Park Chateau Apartments,0.781,663,1.578,0.098,719,7.7%,128,422,A,1950,6,Louisville,512 W Ormsby Ave,KY,40203
22355,Park Laureate,0.985,1019,1.058,-0.004,1019,0.0%,272,1001,A,1991,3,Louisville,2050 Stony Brook Dr,KY,40220
107464,Park Place,0.96,843,0.861,0.028,843,0.0%,324,982,B,1993,2,Louisville,7500 Cranfill Way,KY,40214
114522,Parkside Trace,0.972,953,0.831,0.112,953,0.0%,144,1143,B,2009,2,Charlestown,3401 Harmony Ln,IN,47111
107158,Patriot Crossing,0.961,728,0.867,0.086,728,0.0%,362,841,C,1972,2,Louisville,7103 Yorktown Rd,KY,40214
108413,Pebble Creek,1,787,0.907,0.037,787,0.0%,284,871,B,1978,2,Louisville,6401 Fern Valley Way,KY,40219
8919,Plainview I & II,0.908,1084,1.139,0.085,1109,2.2%,478,989,A,1970,2,Louisville,1000 Stone Spring Way,KY,40223
187551,Poplar Terrace,0.989,757,1.098,0.052,757,0.0%,88,700,B,1973,2,Louisville,1106 Poplar Level Plaza,KY,40217
13626,Post Oak,0.921,876,1.012,0.143,876,0.0%,126,889,B,1981,2,Louisville,8000 Post Oak Pl,KY,40222
126241,Preston Gardens,0.948,846,0.957,-0.021,858,1.1%,96,889,B,2014,3,Louisville,11011 Preston Gardens Ct,KY,40229
13583,Prospect Park,0.964,993,1.092,0.025,1011,1.8%,138,915,A,1990,3,Louisville,2300 Glen Eagle Dr,KY,40222
107373,Renaissance at St Andrews,0.935,808,0.889,-0.067,808,0.0%,216,933,B,2002,3,Louisville,3311 Renwood Blvd,KY,40214
8147,Ridgewood,0.984,714,1.253,0.009,714,0.0%,61,604,B,1984,2,Louisville,3206 Abshire Ln,KY,40220
173705,River Breeze South,0.984,841,0.968,0.007,841,0.0%,128,874,B,2018,2,Louisville,6807 W Pages Ln,KY,40258
12978,River Oak,0.925,906,1.272,-0.053,921,1.7%,268,746,A,1989,3,Louisville,2400 Mellwood Ave,KY,40206
8213,Roanoke Apartments,0.938,770,1.294,0.04,770,0.0%,64,628,A,1985,1,Louisville,4603 Roxann Blvd,KY,40218
8183,Rosewood,0.922,738,1.301,0.016,738,0.0%,77,602,B,1984,2,Louisville,13905 Sassafras Tree Dr,KY,40245
107411,Rosewood Manor Townhomes,0.941,725,0.725,0.037,725,0.0%,51,1000,C,1987,2,Louisville,2200 Rosewood Way,KY,40214
107219,Royal Arms,0.992,817,0.903,-0.044,817,0.0%,121,929,B,1967,2,Louisville,1900 Bashford Manor Ln,KY,40218
108498,Sacred Heart Village II,1,587,1.087,-0.1,587,0.0%,50,540,B,2001,3,Louisville,2108 Payne St,KY,40206
108483,San Jose Court,0.986,643,0.735,0.071,643,0.0%,71,876,C,1964,3,Louisville,1822 San Jose Ave,KY,40216
40362,Shadowridge,0.988,1127,1.028,0.027,1129,0.1%,252,1114,A,1999,3,Louisville,10400 Shadow Ridge Ln,KY,40241
39679,Sheffield Square,0.987,681,0.591,0,681,0.0%,152,1158,C,1972,2,New Albany,600 Country Club Dr,IN,47150
158808,Shelby Crossing,0.933,983,0.851,0.049,983,0.0%,90,1179,B,1971,2,Louisville,500 La Fontenay Ct,KY,40223
107157,Southview,1,755,0.846,0,755,0.0%,96,892,C,1967,3,Louisville,7140 Southside Dr,KY,40214
154098,SpringHouse Apartments,0.946,1318,1.302,0.024,1318,0.0%,224,1039,A,2017,3,Louisville,8400 Tapestry Circle,KY,40222
154099,Springs at Hurstbourne,0.982,1188,1.255,0.004,1208,1.7%,284,975,A,2017,2,Hurstbourne Acres,9202 Bunsen Pkwy,KY,40220
189292,Starlet Square,1,650,0.673,0.043,650,0.0%,168,966,C,1991,2,Fairdale,9800 Starlet Dr,KY,40118
164101,Station House Square Apartments,0.971,1033,1.352,0.02,1033,0.0%,102,777,A,1986,3,Louisville,1509 S 6th St,KY,40208
108422,Stone Creek,1,637,0.835,0.468,637,0.0%,24,767,C,1976,1,New Albany,205 Arbor Pl,IN,47150
127367,Stonebridge,0.879,819,0.873,0.048,819,0.0%,240,950,B,2015,2,Jeffersonville,100 Stonebench Cir,IN,47130
7908,Stonemill Village,0.922,868,1.045,-0.004,899,3.4%,384,845,B,1984,2,Louisville,850 Washburn Ave,KY,40222
107470,Stonewater Park,0.979,911,0.858,-0.021,936,2.7%,236,1065,B,1978,1,Louisville,11353 N Tazwell Dr,KY,40241
40581,Summit Place,0.966,1065,0.986,0.018,1065,0.0%,238,1101,B,2004,3,Louisville,5201 Eagles Peak Way,KY,40241
109976,Tanglewood,0.946,754,0.818,-0.028,780,3.1%,280,949,C,1983,2,Louisville,500 Bermuda Ln,KY,40213
37791,Terraces at Forest Springs,0.954,1266,1.092,0.052,1266,0.0%,327,1169,A,2001,3,Louisville,3501 Terrace Springs Dr,KY,40245
32788,The Avery,0.941,1008,0.958,0.113,1008,0.0%,219,1059,B,1974,3,Louisville,7025 Bronner Cir,KY,40218
157410,The Breakwater,0.948,1204,1.337,0.025,1204,0.0%,191,914,A,2017,4,New Albany,411 E Spring St,IN,47150
130860,The Commons Apartments,1,925,0.954,0.011,925,0.0%,60,970,B,2015,3,New Albany,815 Hausfeldt Ln,IN,47150
187478,The Flats at Hurstbourne,0.966,1069,1.019,0.014,1084,1.4%,88,1050,A,1990,2,Louisville,3220 Silver Springs Dr,KY,40220
197864,The Landing,0.949,849,0.81,0,849,0.0%,79,1050,C,2011,2,Louisville,7101 Schneble Cir,KY,40214
165276,The Lux Townhomes,0.968,743,0.82,0.013,743,0.0%,154,906,C,1986,2,Louisville,2901 Lakeheath Dr,KY,40213
108378,The Metropolitan,0.956,783,1.298,-0.01,783,0.0%,180,616,A,1980,2,Louisville,2612 Whitehall Terrace #124,KY,40220
115409,The Reserves Of Thomas Glen,0.943,769,0.851,-0.01,769,0.0%,192,912,B,2013,3,Shepherdsville,123 Thomas Glen Dr,KY,40165
14291,The Summit Apartments,0.976,753,0.91,0.028,753,0.0%,168,834,B,1974,3,Louisville,2814 DE Mel Ave,KY,40214
193620,The Views at Crescent Hill,0.954,885,1.261,0.137,885,0.0%,130,707,A,1964,2,Louisville,2201 Biljana Dr,KY,40206
108207,The Villas of Forest Springs,0.942,1085,1.043,0.115,1085,0.0%,120,1047,A,2004,2,Louisville,3600 Spring Villa Cir,KY,40245
157408,The Willard at Preston Crossing,0.964,1079,0.943,0.057,1079,0.0%,166,1144,B,2018,3,Louisville,4901 Oldshire Rd,KY,40229
197327,The Woods Apartments,0.995,713,0.984,0.041,713,0.0%,188,775,B,1972,2,Jeffersonville,3300 Wooded Way,IN,47130
107459,Twin Oaks,0.982,471,0.714,-0.03,471,0.0%,112,660,C,1981,2,Louisville,3100 Chinquapin Ln,KY,40219
107213,Tymberwood Trace,0.988,790,1.013,0.047,790,0.0%,160,786,B,1986,2,Louisville,7500 Beechview Way,KY,40219
107586,University Park,0.96,833,1.078,0.085,833,0.0%,224,790,B,1984,2,Louisville,2207 James Pirtle Ct,KY,40217
168898,Valley Farms - Phase II,0.945,1015,0.846,-0.111,1015,0.0%,128,1228,B,2015,2,Louisville,10200 Renaissance Valley Way,KY,40272
107669,Valley Farms I,0.944,902,0.81,-0.009,902,0.0%,160,1126,B,2007,2,Louisville,10200 Renaissance Valley Way,KY,40272
130864,Veranda at Norton Commons,0.979,1443,1.441,0.036,1443,0.0%,236,1029,A,2015,3,Prospect,9506 Civic Way,KY,40059
107556,Viera Anchorage,0.957,1211,1.237,0.041,1211,0.0%,163,991,A,1985,2,Louisville,201 Heritage Hill Trail,KY,40223
107371,Village Manor,0.988,784,0.944,0.029,784,0.0%,251,835,B,1938,2,Louisville,105 Fenley Ave,KY,40207
107410,Village Park,0.977,723,1.016,0.099,723,0.0%,87,728,B,1967,2,Louisville,2001 Peabody Ct,KY,40218
108619,Vue at 3rd Street,0.995,933,1.959,0.084,933,0.0%,218,485,A,1962,16,Louisville,537 S 3rd St,KY,40202
194779,Waterside East,0.863,1258,1.371,-0.056,1258,0.0%,160,954,A,2015,4,Louisville,1500 River Shore Dr,KY,40206
202139,Waterside West,0.862,1220,1.499,0.086,1220,0.0%,167,822,A,2013,4,Louisville,1500 River Shore Dr,KY,40206
159487,Weissinger Gaulbert,0.948,993,1.152,0.094,993,0.0%,96,950,B,1913,2,Louisville,709 S 3rd St,KY,40202
194360,Westbury Harbour,0.942,738,0.654,0.065,738,0.0%,104,1139,C,1966,3,Louisville,1007 Lyndon Ln,KY,40222
107432,Whispering Hills,0.987,612,0.701,0.02,612,0.0%,310,878,C,1968,2,Louisville,6905 Connecticut Dr,KY,40219
107555,Whispering Hills Apartments Southeast,1,624,0.698,0.02,624,0.0%,268,949,C,1973,3,Louisville,202 Flirtation Walk,KY,40219
107438,White Oak Park,0.981,783,0.858,0.028,783,0.0%,160,912,B,1999,3,Louisville,10009 Whiteoak Park Rd,KY,40219
109826,Wilart Arms,0.833,752,1.12,0.047,752,0.0%,66,773,B,1960,4,Louisville,1797 Wilart Dr,KY,40210
108202,Willow Oaks Apartments,1,811,0.931,0.045,811,0.0%,79,883,B,2000,2,Louisville,6003 Jo Danielle Pl,KY,40291
8169,Willow Run,0.953,690,1.192,0.029,690,0.0%,64,612,B,1984,1,New Albany,1 Plaza Dr,IN,47150
107473,Willows of Plainview,0.948,1154,1.102,0.037,1154,0.0%,310,1062,A,1985,2,Louisville,9800 Willow Brook Cir,KY,40223
126243,Woods at Lexington Road,0.972,1100,1.338,-0.009,1100,0.0%,72,850,A,2014,3,Louisville,2139 Lexington Rd,KY,40206
108447,Wynngate,1,850,0.724,0.062,850,0.0%,120,1190,C,1989,2,New Albany,81 Wynn Gate Ct,IN,47150
108192,York Towers,0.865,618,1.212,0.058,618,0.0%,89,523,B,1936,9,Louisville,201 York St,KY,40203
159753,Yorktown,0.958,699,1.075,0.028,699,0.0%,48,650,B,1971,2,Louisville,2356 Grinstead Dr,KY,40204

